"isactive","state"
False,"USA"
False,"USA"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
False,"USA"
False,"USA"
False,"USA"
False,"USA"
False,"USA"
False,"USA"
False,"USA"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
True,"India"
